X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.702148,-33.365791,232,2018,1,13125,QUILICURA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131250482,MANUEL ANTONIO MATTA,131250559,PDTE EDUARDO FREI MONTALVA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-70.701981,-33.603241,233,2018,1,13401,SAN BERNARDO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,134010728,LOS NOGALES,134010115,BARROS ARANA,0,0,0,0,0,BICICLETA,0,0,0,0,2
-70.701134,-33.4890629999999,234,2018,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131020408,PILOTO LAZO,131020397,PEDRO AGUIRRE CERDA,0,0,0,0,2,BICICLETA,0,0,0,2,2
-70.700813,-33.572956,235,2018,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131050641,OCHAGAVIA,131050386,LO BLANCO,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7007244,-33.4570444,236,2018,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010342,LIBER BERNARDO O`HIGGINS, , ,4848,0,0,0,1,BICICLETA,0,0,0,1,1
-70.6997529999999,-33.396591,237,2018,1,13128,RENCA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131280060,APOSTOL SANTIAGO,131280442,LOS HELECHOS,0,1,0,0,1,BICICLETA,1,0,0,1,1
-70.699615,-33.570442,238,2018,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131050641,OCHAGAVIA, , ,12008,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6991656,-33.5912491999999,239,2018,1,13401,SAN BERNARDO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,134010426,FRANCISCO DE VILLAGRA,134010635,LAS CODORNICES,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.6990359999999,-33.25935,240,2018,1,13301,COLINA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,133010067,CALETERA GRAL SAN MARTIN, , ,9000,0,0,0,1,BICICLETA,0,0,0,1,1
-70.699028,-33.4174349999999,241,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131260111,DR JOSE TOBIAS,131260271,OSCAR CHANKS,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.6985403,-33.5739211,242,2018,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131050125,CENTRAL,131050765,ROSARIO ROSALES,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.697525,-33.400372,243,2018,1,13128,RENCA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131280731,SENADOR JAIME GUZMAN,131280060,APOSTOL SANTIAGO,0,0,0,1,0,BICICLETA,0,0,1,0,1
