FID,ICOUNT,Comuna,Cód_Región,Región,País,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes,Falle_bici,Grave_bici,Mgrav_bici,leve_bici
574,1,INDEPENDENCIA,13,REGION METROPOLITANA,Chile,EINSTEIN,HUANUCO,0,EINSTEIN / HUANUCO,0,0,0,1,1,0,0,0,0
575,1,CONCHALI,13,REGION METROPOLITANA,Chile,LOS ZAPADORES,GENERAL GAMBINO,0,LOS ZAPADORES / GENERAL GAMBINO,0,0,0,1,1,0,0,0,1
576,1,RECOLETA,13,REGION METROPOLITANA,Chile,LOS ZAPADORES, ,123,LOS ZAPADORES 123,0,0,0,1,1,0,0,0,1
577,1,RECOLETA,13,REGION METROPOLITANA,Chile,EMILIANO ZAPATA,EVERTON,0,EMILIANO ZAPATA / EVERTON,0,1,0,0,1,0,1,0,0
578,1,QUILICURA,13,REGION METROPOLITANA,Chile,AMERICO VESPUCIO, ,2050,AMERICO VESPUCIO 2050,1,0,0,0,1,1,0,0,0
579,1,HUECHURABA,13,REGION METROPOLITANA,Chile,SAN PEDRO DE ATACAMA,CALISAMA,0,SAN PEDRO DE ATACAMA / CALISAMA,0,0,0,1,1,0,0,0,1
580,1,HUECHURABA,13,REGION METROPOLITANA,Chile,LOS LIBERTADORES,BERTA CORREA,0,LOS LIBERTADORES / BERTA CORREA,0,0,0,1,1,0,0,0,1
581,1,CONCHALI,13,REGION METROPOLITANA,Chile,GRANADA,CARDENAL JOSE MARIA CARO,0,GRANADA / CARDENAL JOSE MARIA CARO,0,0,0,1,1,0,0,0,1
582,1,HUECHURABA,13,REGION METROPOLITANA,Chile,SANTA MARTA DE HUECHURABA, ,7353,SANTA MARTA DE HUECHURABA 7353,0,0,0,1,1,0,0,0,1
583,1,CONCHALI,13,REGION METROPOLITANA,Chile,AMERICO VESPUCIO,PEDRO FONTOVA,0,AMERICO VESPUCIO / PEDRO FONTOVA,0,1,0,0,1,0,1,0,0
584,1,HUECHURABA,13,REGION METROPOLITANA,Chile,PEDRO FONTOVA, ,1694,PEDRO FONTOVA 1694,0,0,0,1,1,0,0,0,1
585,1,HUECHURABA,13,REGION METROPOLITANA,Chile,PEDRO FONTOVA,CAMINO CINTURA,0,PEDRO FONTOVA / CAMINO CINTURA,0,0,1,0,1,0,0,1,0
586,1,CONCHALI,13,REGION METROPOLITANA,Chile,EL GUANACO,PRINCIPAL,0,EL GUANACO / PRINCIPAL,0,1,0,1,1,0,1,0,0
587,1,SAN MIGUEL,13,REGION METROPOLITANA,Chile,MONTREAL,DEPARTAMENTAL,0,MONTREAL / DEPARTAMENTAL,0,0,0,0,1,0,0,0,0
588,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,SANTA ROSA,ALVAREZ DE TOLEDO,0,SANTA ROSA / ALVAREZ DE TOLEDO,1,0,0,1,1,1,0,0,0
589,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,SANTA ROSA,SAN NICOLAS,0,SANTA ROSA / SAN NICOLAS,0,1,0,0,1,0,1,0,0
590,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,SANTA ROSA,PIRAMIDE,0,SANTA ROSA / PIRAMIDE,0,0,0,1,1,0,0,0,1
591,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,CABILDO,SANTA ESTER,0,CABILDO / SANTA ESTER,0,0,0,1,1,0,0,0,1
592,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,VARAS MENA,BERLIOZ,0,VARAS MENA / BERLIOZ,0,0,0,1,1,0,0,0,1
593,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,LAS INDUSTRIAS,COMERCIO,0,LAS INDUSTRIAS / COMERCIO,0,0,0,1,1,0,0,0,1
594,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,PRESIDENTE SALVADOR ALLENDE,LAS INDUSTRIAS,0,PRESIDENTE SALVADOR ALLENDE / LAS INDUSTRIAS,0,0,0,0,1,0,0,0,0
595,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,URETA COX,LAS INDUSTRIAS,0,URETA COX / LAS INDUSTRIAS,0,0,0,1,1,0,0,0,1
596,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,LAS INDUSTRIAS,PIRAMIDE,0,LAS INDUSTRIAS / PIRAMIDE,0,0,0,1,1,0,0,0,1
597,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,COMERCIO,RIO VALDIVIA,0,COMERCIO / RIO VALDIVIA,0,0,0,1,1,0,0,0,1
598,2,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,PRESIDENTE SALVADOR ALLENDE,VECINAL,0,PRESIDENTE SALVADOR ALLENDE / VECINAL,0,0,0,1,2,0,0,0,1
599,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,LAS INDUSTRIAS,VARAS MENA,0,LAS INDUSTRIAS / VARAS MENA,0,0,0,1,1,0,0,0,1
600,1,SAN MIGUEL,13,REGION METROPOLITANA,Chile,DON BOSCO,ALCALDE PEDRO ALARCON,0,DON BOSCO / ALCALDE PEDRO ALARCON,0,0,0,0,1,0,0,0,0
601,1,SANTIAGO,13,REGION METROPOLITANA,Chile,ARAUCO,SANTA ROSA,0,ARAUCO / SANTA ROSA,0,0,0,2,1,0,0,0,1
602,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,SANTA ROSA,ALCALDE CARLOS VALDOVINOS,0,SANTA ROSA / ALCALDE CARLOS VALDOVINOS,0,0,0,0,1,0,0,0,0
603,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,SANTA ROSA,ALCALDE PEDRO ALARCON,0,SANTA ROSA / ALCALDE PEDRO ALARCON,0,1,0,0,1,0,1,0,0
604,1,SANTIAGO,13,REGION METROPOLITANA,Chile,FRANKLIN,SAN ISIDRO,0,FRANKLIN / SAN ISIDRO,0,0,0,1,1,0,0,0,1
605,2,SANTIAGO,13,REGION METROPOLITANA,Chile,ARAUCO,EDUARDO MATTE,0,ARAUCO / EDUARDO MATTE,0,0,0,1,2,0,0,0,1
606,1,SANTIAGO,13,REGION METROPOLITANA,Chile,CARMEN,FRANKLIN,0,CARMEN / FRANKLIN,0,0,0,1,1,0,0,0,1
607,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,COMANDANTE RIESLE,MATEO DE TORO Y ZAMBRANO,0,COMANDANTE RIESLE / MATEO DE TORO Y ZAMBRANO,0,0,0,0,1,0,0,0,0
608,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,SIERRA BELLA,SANTA MARIA,0,SIERRA BELLA / SANTA MARIA,1,0,1,0,1,1,0,0,0
609,1,SANTIAGO,13,REGION METROPOLITANA,Chile,ARAUCO,LIRA,0,ARAUCO / LIRA,0,0,0,0,1,0,0,0,0
610,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,ALCALDE PEDRO ALARCON,SALOMON SUMAR,0,ALCALDE PEDRO ALARCON / SALOMON SUMAR,0,0,0,1,1,0,0,0,1
611,1,ÑUÑOA,13,REGION METROPOLITANA,Chile,VICUNA MACKENNA,GUILLERMO MANN,0,VICUNA MACKENNA / GUILLERMO MANN,0,0,0,1,1,0,0,0,1
612,1,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,LO OVALLE,FRANCIA,0,LO OVALLE / FRANCIA,0,1,0,0,1,0,1,0,0
613,2,SAN JOAQUIN,13,REGION METROPOLITANA,Chile,SAN JUAN,RAQUEL,0,SAN JUAN / RAQUEL,0,1,0,1,2,0,1,0,1
