FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
274,"GRAN AVENIDA JOSE MIGUEL CARRERA & CLODOMIRO FIGUEROA PONCE, EL BOSQUE",0,0,0,1,1
275,"PRESIDENTE BALMACEDA & COSTANERA SUR, QUINTA NORMAL",0,0,0,2,1
276,"DIEGO DE SEVILLA & LO MORENO, EL BOSQUE",0,0,0,1,1
277,"LOS CAROLINOS & LOS JAZMINES, EL BOSQUE",0,0,0,1,1
278,"PETROHUE & QUEMCHI, PEDRO AGUIRRE CERDA",0,1,0,0,1
279,"ROSAS & ESPERANZA, SANTIAGO",0,0,0,2,1
280,"LIBERTADOR BERNARDO O`HIGGINS & MAIPU, SANTIAGO",0,0,0,1,1
281,"2 DE ABRIL & VIRGINIO ARIAS, PEDRO AGUIRRE CERDA",0,0,0,1,1
282,"CLUB HIPICO & PETROHUE, PEDRO AGUIRRE CERDA",0,0,0,0,1
283,"SANTA MARTA DE HUECHURABA & SANTA ELENA DE HUECHURABA, HUECHURABA",0,0,0,0,1
284,"2973 BLANCO ENCALADA, SANTIAGO",0,2,0,0,2
285,"ROSAS & LIBERTAD, SANTIAGO",0,0,0,1,1
286,"SANTO DOMINGO & LIBERTAD, SANTIAGO",0,0,0,1,1
287,"TRINIDAD RAMIREZ & ARGENTINA, LA CISTERNA",0,0,0,1,1
288,"MAPOCHO & RAFAEL SOTOMAYOR, SANTIAGO",0,1,0,0,1
289,"QUEMCHI & CARELMAPU, PEDRO AGUIRRE CERDA",0,0,0,2,1
290,"JOSE JOAQUIN PRIETO VIAL & PRESIDENTE SALVADOR ALLENDE, LO ESPEJO",0,0,0,1,1
291,"GRAN AVENIDA JOSE MIGUEL CARRERA & GENERAL MANUEL TOVARIAS, EL BOSQUE",0,0,0,2,2
292,"2 DE ABRIL & EUGENIO MATTE, PEDRO AGUIRRE CERDA",0,0,0,1,1
293,"DOMINGO SANTA MARIA & LO CANAS, INDEPENDENCIA",0,0,0,0,1
294,"CARLOS MARX & LOS COMANDOS, PEDRO AGUIRRE CERDA",0,0,0,1,1
295,"CUETO & SAN PABLO, SANTIAGO",0,0,0,1,1
296,"PEDRO FONTOVA & NAVIDAD, CONCHALI",0,0,0,1,1
297,"ROSAS & CUETO, SANTIAGO",0,0,0,2,2
298,"DEPARTAMENTAL & FELIX MENDELSSOHN, PEDRO AGUIRRE CERDA",0,1,0,0,1
299,"5666 PEDRO FONTOVA, CONCHALI",0,0,0,1,1
300,"936 LOS CAROLINOS, EL BOSQUE",0,0,0,2,2
301,"6426 PEDRO FONTOVA, HUECHURABA",0,0,0,1,1
302,"CARELMAPU & MANUELA ERRAZURIZ, PEDRO AGUIRRE CERDA",0,0,0,1,1
303,"ROSAS & GARCIA REYES, SANTIAGO",0,0,0,1,1
304,"TARTINI & LUCRECIA BORGIA, PEDRO AGUIRRE CERDA",0,0,0,2,1
305,"LOS MORROS & LOS CAROLINOS, EL BOSQUE",0,1,0,0,1
306,"GENERAL BULNES & SAN PABLO, SANTIAGO",0,0,0,1,1
307,"DEPARTAMENTAL & CLUB HIPICO, PEDRO AGUIRRE CERDA",1,0,0,0,1
308,"2519 LIBERTADOR BERNARDO O`HIGGINS, SANTIAGO",0,0,0,1,1
309,"CATEDRAL & GENERAL BULNES, SANTIAGO",0,1,0,0,1
310,"LOS MORROS & CLARA SOLOVERA CORTES, EL BOSQUE",0,0,0,1,1
311,"GENERAL BULNES & COMPANIA DE JESUS, SANTIAGO",0,1,0,2,2
312,"GENERAL BULNES & AGUSTINAS, SANTIAGO",0,1,0,1,2
313,"GENERAL BULNES & ERASMO ESCALA, SANTIAGO",0,0,0,1,2
314,"LAS CANTERAS & PENUELAS, EL BOSQUE",0,0,1,2,1
315,"MAPOCHO & RICARDO CUMMING, SANTIAGO",0,0,0,0,1
316,"ENRIQUE MATTE & CLOTARIO BLEST, PEDRO AGUIRRE CERDA",0,0,1,2,2
317,"MARTINEZ DE ROZAS & RICARDO CUMMING, SANTIAGO",0,0,0,1,1
318,"RICARDO CUMMING & SAN PABLO, SANTIAGO",0,0,0,0,1
319,"LOS DIAMANTES & SANTA ELENA, EL BOSQUE",0,0,0,1,1
